;Word 0;Word 1;Word 2;Word 3;Word 4;Word 5;Word 6;Word 7;Word 8;Word 9;Word 10;Word 11;Word 12;Word 13;Word 14;Word 15;Word 16;Word 17;Word 18;Word 19;Word 20;Word 21;Word 22;Word 23;Word 24;Word 25;Word 26;Word 27;Word 28;Word 29;Word 30;Word 31;Word 32;Word 33;Word 34;Word 35;Word 36;Word 37;Word 38;Word 39;Word 40;Word 41;Word 42;Word 43;Word 44;Word 45;Word 46;Word 47;Word 48;Word 49;Word 50;Word 51;Word 52;Word 53;Word 54;Word 55;Word 56;Word 57;Word 58;Word 59;Word 60;Word 61;Word 62;Word 63;Word 64;Word 65;Word 66;Word 67;Word 68;Word 69;Word 70;Word 71;Word 72;Word 73;Word 74;Word 75;Word 76;Word 77;Word 78;Word 79;Word 80;Word 81;Word 82;Word 83;Word 84;Word 85;Word 86;Word 87;Word 88;Word 89;Word 90;Word 91;Word 92;Word 93;Word 94;Word 95;Word 96;Word 97;Word 98;Word 99
Sin, Forgiveness, and Salvation;gud;synd;synder;forladelse;guds;menneske;frelse;syndernes;synden;syndere;overfor;død;jesus;skyld;nåde;liv;syndens;omvendelse;hjerte;fortabt;frelsen;synders;bod;vej;bærer;gerninger;korset;fald;omvende;hjertet;søn;får;broder;bort;tager;spørgsmål;tilgivelse;amen;dersom;frelst;fortabte;frelses;verdens;enkelte;vantro;straf;menneskes;hedder;søger;nød;evigt;adam;religiøse;forlades;lyst;svar;dybe;gerning;gave;byrde;nådegave;svaret;apostelen;fuld;daglig;anger;synderen;fundet;sold;naturlige;david;port;skylden;hovmod;fjendskab;fortabelse;frelser;lam;lod;overtrædelser;bar;åben;vrede;omvendt;råbe;bud;riges;skyldige;synderes;nådes;elendighed;omvendte;forladt;kvinde;fortabelsens;bestemt;syndet;prøver;forlade;rækker
Death, Resurrection, and Eternal Life;liv;døden;død;døde;kristus;opstandelse;håb;livet;levende;kristi;opstandelsen;dødens;sejr;lever;graven;leve;lazarus;opstanden;håbet;dø;langfredag;dør;opstod;forbi;jesu;grav;evige;evigt;påskemorgen;gamle;opstandelsens;påsken;budskab;oprejst;engang;opstå;helvede;opstandne;virkelighed;nederlag;synden;begravet;disciple;længe;stod;forkyndt;påskens;tilværelse;forkynder;gik;bryder;korsfæstet;dele;korsfæstede;sidst;vender;påskedag;morgen;oprejse;egentlige;livets;dødes;håbløse;sorg;stået;kvinderne;kirke;martha;dødsriget;begivenhed;levet;ulykke;sket;sejre;evighed;ringer;kirken;skete;budskabet;sejret;mørke;takke;fryd;lykkelige;sejren;skilles;broder;betyder;håbløshed;opfyldelse;forkyndelse;forkynde;historie;fuldt;miste;SAND;ringe;gravene;legeme;opvækkelse
Jesus and his earthly ministry;ord;johannes;syge;salige;salig;døberen;tale;evangeliet;jesu;tvivl;fattige;bud;læge;døden;syg;rask;sygdom;vente;gerninger;raske;øjeblik;spedalske;myndighed;blinde;sidder;inde;manden;trods;træt;messias;jorden;forarges;døve;lamme;stod;døber;fængsel;ven;sygdommen;lægen;hjælpe;svar;tvivlen;helbredelse;skaber;trænger;hjælper;kap;måde;fængslet;tørster;åbenbaring;dage;hjulpet;syndere;undergerninger;sendte;står;straks;prædikes;døde;sundhed;forkyndes;fattigdom;livs;disciple;ærinde;træde;seng;sidde;kongens;lægedom;regel;hungrer;opgivet;prøvet;største;levi;anfægtelse;direkte;sjældent;dam;herodes;snak;renses;forringes;sørger;slags;vokse;stum;siges;bryde;ringe;helbredt;bind;rør;døberens;melder;mæle;håbløst
Prayer and Divine Help;bøn;bede;beder;gud;nød;hjælp;bønnen;hjem;hjælpe;fader;bad;bed;bønnens;hjulpet;lære;nøden;bønner;kvinde;bedt;trænger;bestemt;hjælpen;fadervor;andres;tider;søge;daglige;kraft;velsignelse;møde;dagens;erfaring;onde;dagen;åndeligt;åndelige;bo;brudgommen;seende;får;råb;råbe;olie;bedende;gudsfrygt;lært;luk;tankerne;virkelig;ægteskabet;egentlig;forbøn;livs;råbte;sygdom;kvinden;kamp;lærer;lampen;fromme;nødvendigt;derom;olien;lær;begynde;israels;fremmed;danmark;kananæiske;hjælper;mangel;skade;ægteskab;had;forpligtelse;sammenhold;resten;aftenbøn;sådant;prøvelse;grænse;krigen;samaritan;hus;bedre;hold;grænsen;dersom;afvisning;timelig;hunde;råbet;selviskhed;forbillede;paradis;snarere;nytter;søger;måder;almindelighed
The people of Israel;herren;folk;herrens;gamle;tid;indre;ord;falske;fred;tale;vente;israel;frelse;israels;ydre;røst;trøst;profeter;mission;troende;hjerter;kende;viser;talte;venter;tegn;arbejdet;simeon;jerusalem;sjæl;lære;arbejde;folkene;fare;templet;byen;søge;profeten;profet;sted;forventning;drive;gerninger;hvile;fejl;enkelt;hav;kald;hellig;hjem;mener;helligdommen;åndelige;salme;lede;rede;samfund;efesus;hedningerne;bekymringer;tidens;omvende;hjerterne;omvendelse;gik;folket;genkomst;uvished;jøderne;stilhed;fuld;ånd;zakkæus;sent;lever;dom;tales;længes;missions;kendetegn;land;uro;opfyldes;rent;byens;by;ventede;udholdenhed;hedenske;forkyndere;gammelt;nat;strålende;råbte;esajas;fylder;messias;vagt;forladt;forud
Heaven and the Kingdom of God;rige;guds;verden;får;glæde;forventning;tid;lever;riges;himmeriges;tager;lyst;arbejde;riget;indbydelse;tilværelse;børnene;betyder;tiden;børn;pligt;gave;fremtiden;jord;forventningen;rigets;begynder;disciple;krig;voksne;tanker;jordiske;indenfor;mødes;lyder;tværtimod;søg;velsignede;retfærdighed;redde;storhed;skønne;mad;barnet;eksempel;retfærdighedens;lykkes;blevet;selvfølgelig;lægger;gaver;besat;krigen;historie;dagens;ordning;nadver;samfund;nødvendige;salige;grænse;oplever;hovedet;kræfter;lignelsen;anstrengelser;kalken;lykke;forkyndt;voksnes;bruger;uret;tyder;indbyde;gengæld;mark;indbydelsen;rent;møje;krav;ulykker;taler;fremgang;forventningens;dømt;arbejder;bedste;gøres;fortjeneste;grænsen;forvandler;forløsningen;uretfærdig;nærværende;frie;frygter;løfte;allermest;optimisme;luk
The word of God and its reception;ord;kristus;gud;verden;guds;liv;håb;høre;ordet;tro;står;betyder;evangeliet;holde;kristi;får;ganske;jesu;fred;sted;død;gode;taler;virkelig;slet;evangelium;jorden;blevet;dom;midt;lade;dér;tror;vantro;hverken;kalder;forstår;overfor;forstå;eget;bort;lader;jesus;sikkerhed;egne;leve;side;gælder;nåde;fald;amen;tale;består;taget;talt;fattige;troende;trods;nøjes;virkelige;budskab;skjult;d.v;øjne;lever;møder;kender;tilhører;tilgivelse;dø;borte;sandheden;stedet;ethvert;gået;lyder;rette;engang;fast;virkeligheden;frygt;skønt;tegn;vide;håbet;steder;fremtid;dage;trøst;bedre;medmennesker;sikre;dommen;tager;samvittighed;ydre;kræver;ønsker;fortvivlelse;sådant
Truth, Lies, and Spiritual Warfare;sandheden;sandhed;djævelen;onde;guds;sandhedens;løgn;kamp;ånd;tid;sandt;menneske;magt;synd;mennesker;brød;lade;kristendommen;løgnen;ørkenen;blod;kejseren;kampen;fred;gælder;djævelens;satan;spil;ånder;skrevet;sværd;mørke;vold;kød;viser;fast;levede;krigen;mulighed;spørge;ingenting;fristelse;abrahams;bilde;falde;lader;livet;krig;løgnens;fristet;sejr;våben;hed;ondskab;vej;djævel;kaldes;helvede;prædiken;pligt;mennesket;følte;sande;skabe;sandheder;bibelen;sandelig;fristes;person;købe;slår;troede;skete;modsatte;religion;kultur;lukket;står;kejserens;tide;abraham;ondes;fjende;menneskeheden;sejren;modig;dersom;evighed;udnytte;forhold;passer;farligste;udgår;indefra;duer;usynlige;idealer;vig;fristeren;fristelsen
The love and sacrifice of Christ;kærlighed;jesus;kærligheden;elske;kors;mennesker;elsker;jesu;korset;fjender;tjene;lidelse;bud;døden;onde;kærlighedens;fjende;elskede;give;eget;hjerte;ondt;elsket;offer;hensyn;tjeneste;side;bære;verdens;lidelsen;skyld;lider;plads;midt;frelse;iblandt;ære;kærligheds;rene;lidelser;hader;tjener;lide;viser;fader;ofre;hjerter;korsets;betyder;hade;forstand;bar;tog;søstre;hvilket;sandhed;tilhører;stiller;let;nærmeste;kræver;prisen;hustru;højre;vold;tjenesten;dér;tilgive;brødre;svært;vers;syndige;betale;redde;korsfæstede;findes;blind;gåde;skete;ansvaret;opfylde;fødder;skilles;omkostningerne;moder;hensynsløs;forældre;sagfører;ægte;driver;grav;endog;barmhjertighed;autoritet;langfredag;værste;grund;taler;genløsning;lidelsens
Wealth, Poverty, and Spiritual Riches;gud;rige;sjæl;rigdom;fattige;penge;give;enhed;rig;navn;mennesker;svar;menneske;bygge;gav;hus;grund;glæde;fattigdom;lykke;fast;ejer;fattig;lagt;besøg;fundet;evigt;verden;værdi;bygger;fået;bygges;fællesskab;svaret;evige;hænder;taget;unge;holdt;åndelige;budene;slags;fylde;sten;bleven;utro;bygget;umuligt;ofre;rigere;altsammen;spørge;kreds;frelst;fuldkommen;fandt;lære;guld;betale;skat;tanker;verdslige;enke;offer;byggede;tab;menigheden;tager;længsel;færdig;alvor;rigdommen;spørgsmålet;spurgte;valgt;ånd;glemte;klæder;grundvold;indenfor;skabt;usikkerhed;rigtige;klippen;pengene;samle;ejendom;sat;samfundet;lader;enkelt;gods;templet;hjælper;stene;optaget;timelige;samlet;beror;mammon
Light/Darkness, and Spiritual Fruitfulness;lys;mørke;frugt;ordet;lyset;ord;mørket;guds;bære;høst;verdens;sæden;gode;liden;høsten;stund;sæd;jord;sået;glæde;træet;lyse;bærer;høster;natten;billede;verden;grund;aften;salt;forladelse;nat;lyst;dagen;jorden;sår;skinner;vintræet;skabe;solen;frugter;hjerte;talt;sande;vækst;mørkets;skinne;tænder;syndernes;bygger;hjerter;ordets;vokser;grene;grenene;forbindelse;børns;sol;lampe;træ;frugten;mørkt;tænker;sommer;marken;kornet;time;fælles;slukkes;rod;taknemlighed;lysets;angst;hvide;troens;juleaften;skjule;glæder;naturen;vintræ;vokse;gren;lyser;gro;markerne;rækker;eders;straks;fromme;udholdenhed;rene;skin;ende;skyer;ond;lignelsen;paradisæbler;sædemanden;stjernerne;grenen
